board_id,clicks,date,datetime
9cfee275db9d4be1ab283e744ee61855,0,2017-06-09 11:47:00,1496976420.0
ff6aa8317a384b1a8ed42bd8e8c2fa69,0,2017-06-16 08:19:00,1497568740.0
53c2ada925aa45b7bec89ef200f56aac,0,2017-06-19 11:50:00,1497840600.0
53c2ada925aa45b7bec89ef200f56aac,1181,2017-06-20 14:00:38,1497934838.0
53c2ada925aa45b7bec89ef200f56aac,1188,2017-06-20 15:00:29,1497938429.0
53c2ada925aa45b7bec89ef200f56aac,1190,2017-06-20 16:00:40,1497942040.0
53c2ada925aa45b7bec89ef200f56aac,1191,2017-06-20 17:00:30,1497945630.0
53c2ada925aa45b7bec89ef200f56aac,1193,2017-06-20 18:00:42,1497949242.0
53c2ada925aa45b7bec89ef200f56aac,1194,2017-06-20 19:00:31,1497952831.0
53c2ada925aa45b7bec89ef200f56aac,1195,2017-06-20 20:00:44,1497956444.0
53c2ada925aa45b7bec89ef200f56aac,1197,2017-06-20 21:00:32,1497960032.0
53c2ada925aa45b7bec89ef200f56aac,1197,2017-06-20 22:00:31,1497963631.0
53c2ada925aa45b7bec89ef200f56aac,1200,2017-06-20 23:00:45,1497967245.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,0,2017-06-23 00:55:00,1498146900.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,238,2017-06-23 02:00:14,1498150814.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,328,2017-06-23 03:00:14,1498154414.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,379,2017-06-23 04:00:15,1498158015.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,415,2017-06-23 05:00:15,1498161615.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,493,2017-06-23 06:00:16,1498165216.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,611,2017-06-23 07:00:15,1498168815.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,840,2017-06-23 08:00:24,1498172424.0
bd6d8cfac15b475d82b187f43d78eada,0,2017-06-23 08:57:00,1498175820.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1001,2017-06-23 09:00:17,1498176017.0
bd6d8cfac15b475d82b187f43d78eada,478,2017-06-23 10:00:19,1498179619.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1092,2017-06-23 10:00:24,1498179624.0
bd6d8cfac15b475d82b187f43d78eada,677,2017-06-23 11:00:17,1498183217.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1164,2017-06-23 11:00:20,1498183220.0
bd6d8cfac15b475d82b187f43d78eada,791,2017-06-23 12:00:26,1498186826.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1200,2017-06-23 12:00:29,1498186829.0
bd6d8cfac15b475d82b187f43d78eada,877,2017-06-23 13:00:22,1498190422.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1227,2017-06-23 13:00:25,1498190425.0
bd6d8cfac15b475d82b187f43d78eada,926,2017-06-23 14:00:30,1498194030.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1244,2017-06-23 14:00:34,1498194034.0
bd6d8cfac15b475d82b187f43d78eada,960,2017-06-23 15:00:24,1498197624.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1269,2017-06-23 15:00:27,1498197627.0
bd6d8cfac15b475d82b187f43d78eada,997,2017-06-23 16:00:33,1498201233.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1286,2017-06-23 16:00:36,1498201236.0
bd6d8cfac15b475d82b187f43d78eada,1018,2017-06-23 17:00:28,1498204828.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1298,2017-06-23 17:00:30,1498204830.0
bd6d8cfac15b475d82b187f43d78eada,1030,2017-06-23 18:00:36,1498208436.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1311,2017-06-23 18:00:39,1498208439.0
bd6d8cfac15b475d82b187f43d78eada,1058,2017-06-23 19:00:29,1498212029.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1321,2017-06-23 19:00:32,1498212032.0
bd6d8cfac15b475d82b187f43d78eada,1075,2017-06-23 20:00:39,1498215639.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1332,2017-06-23 20:00:43,1498215643.0
bd6d8cfac15b475d82b187f43d78eada,1091,2017-06-23 21:00:32,1498219232.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1341,2017-06-23 21:00:34,1498219234.0
bd6d8cfac15b475d82b187f43d78eada,1111,2017-06-23 22:00:32,1498222832.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1349,2017-06-23 22:00:35,1498222835.0
bd6d8cfac15b475d82b187f43d78eada,1140,2017-06-23 23:00:42,1498226442.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1364,2017-06-23 23:00:45,1498226445.0
bd6d8cfac15b475d82b187f43d78eada,1155,2017-06-24 00:00:35,1498230035.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1373,2017-06-24 00:00:38,1498230038.0
bd6d8cfac15b475d82b187f43d78eada,1170,2017-06-24 01:00:36,1498233636.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1380,2017-06-24 01:00:38,1498233638.0
bd6d8cfac15b475d82b187f43d78eada,1181,2017-06-24 02:00:36,1498237236.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1383,2017-06-24 02:00:39,1498237239.0
bd6d8cfac15b475d82b187f43d78eada,1184,2017-06-24 03:00:37,1498240837.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1384,2017-06-24 03:00:39,1498240839.0
bd6d8cfac15b475d82b187f43d78eada,1185,2017-06-24 04:00:36,1498244436.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1384,2017-06-24 04:00:38,1498244438.0
bd6d8cfac15b475d82b187f43d78eada,1187,2017-06-24 05:00:36,1498248036.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1386,2017-06-24 05:00:38,1498248038.0
bd6d8cfac15b475d82b187f43d78eada,1187,2017-06-24 06:00:37,1498251637.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1387,2017-06-24 06:00:39,1498251639.0
bd6d8cfac15b475d82b187f43d78eada,1190,2017-06-24 07:00:37,1498255237.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1391,2017-06-24 07:00:40,1498255240.0
bd6d8cfac15b475d82b187f43d78eada,1201,2017-06-24 08:00:55,1498258855.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1392,2017-06-24 08:00:57,1498258857.0
bd6d8cfac15b475d82b187f43d78eada,1210,2017-06-24 09:00:38,1498262438.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1398,2017-06-24 09:00:40,1498262440.0
bd6d8cfac15b475d82b187f43d78eada,1215,2017-06-24 10:00:50,1498266050.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1400,2017-06-24 10:00:53,1498266053.0
bd6d8cfac15b475d82b187f43d78eada,1218,2017-06-24 11:00:42,1498269642.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1402,2017-06-24 11:00:44,1498269644.0
bd6d8cfac15b475d82b187f43d78eada,1221,2017-06-24 12:00:56,1498273256.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1404,2017-06-24 12:00:58,1498273258.0
bd6d8cfac15b475d82b187f43d78eada,1227,2017-06-24 13:00:49,1498276849.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1405,2017-06-24 13:00:51,1498276851.0
bd6d8cfac15b475d82b187f43d78eada,1232,2017-06-24 14:00:55,1498280455.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1405,2017-06-24 14:00:57,1498280457.0
bd6d8cfac15b475d82b187f43d78eada,1238,2017-06-24 15:00:44,1498284044.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1407,2017-06-24 15:00:47,1498284047.0
bd6d8cfac15b475d82b187f43d78eada,1240,2017-06-24 16:00:57,1498287657.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1409,2017-06-24 16:00:59,1498287659.0
bd6d8cfac15b475d82b187f43d78eada,1244,2017-06-24 17:00:47,1498291247.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1412,2017-06-24 17:00:49,1498291249.0
bd6d8cfac15b475d82b187f43d78eada,1245,2017-06-24 18:00:58,1498294858.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1412,2017-06-24 18:01:01,1498294861.0
bd6d8cfac15b475d82b187f43d78eada,1249,2017-06-24 19:00:49,1498298449.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1413,2017-06-24 19:00:51,1498298451.0
bd6d8cfac15b475d82b187f43d78eada,1250,2017-06-24 20:01:00,1498302060.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1415,2017-06-24 20:01:02,1498302062.0
bd6d8cfac15b475d82b187f43d78eada,1252,2017-06-24 21:00:50,1498305650.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1419,2017-06-24 21:00:53,1498305653.0
bd6d8cfac15b475d82b187f43d78eada,1255,2017-06-24 22:00:51,1498309251.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1421,2017-06-24 22:00:53,1498309253.0
bd6d8cfac15b475d82b187f43d78eada,1261,2017-06-24 23:01:03,1498312863.0
c4e2859b201c4f7f8d1e5f41d4a2ac37,1424,2017-06-24 23:01:05,1498312865.0
df5f8456d63d40208ab33a5049f74828,0,2017-06-26 09:44:00,1498437840.0
df5f8456d63d40208ab33a5049f74828,588,2017-06-26 11:00:20,1498442420.0
df5f8456d63d40208ab33a5049f74828,694,2017-06-26 12:00:28,1498446028.0
df5f8456d63d40208ab33a5049f74828,748,2017-06-26 13:00:24,1498449624.0
df5f8456d63d40208ab33a5049f74828,784,2017-06-26 14:00:32,1498453232.0
df5f8456d63d40208ab33a5049f74828,819,2017-06-26 15:00:27,1498456827.0
df5f8456d63d40208ab33a5049f74828,851,2017-06-26 16:00:37,1498460437.0
df5f8456d63d40208ab33a5049f74828,872,2017-06-26 17:00:30,1498464030.0
df5f8456d63d40208ab33a5049f74828,889,2017-06-26 18:00:40,1498467640.0
df5f8456d63d40208ab33a5049f74828,908,2017-06-26 19:00:33,1498471233.0
df5f8456d63d40208ab33a5049f74828,924,2017-06-26 20:00:44,1498474844.0
df5f8456d63d40208ab33a5049f74828,937,2017-06-26 21:00:36,1498478436.0
df5f8456d63d40208ab33a5049f74828,956,2017-06-26 22:00:37,1498482037.0
df5f8456d63d40208ab33a5049f74828,975,2017-06-26 23:00:50,1498485650.0
df5f8456d63d40208ab33a5049f74828,996,2017-06-27 00:00:41,1498489241.0
df5f8456d63d40208ab33a5049f74828,1005,2017-06-27 01:00:42,1498492842.0
df5f8456d63d40208ab33a5049f74828,1014,2017-06-27 02:00:43,1498496443.0
df5f8456d63d40208ab33a5049f74828,1015,2017-06-27 03:00:43,1498500043.0
df5f8456d63d40208ab33a5049f74828,1016,2017-06-27 04:00:44,1498503644.0
df5f8456d63d40208ab33a5049f74828,1016,2017-06-27 05:00:43,1498507243.0
df5f8456d63d40208ab33a5049f74828,1017,2017-06-27 06:00:45,1498510845.0
df5f8456d63d40208ab33a5049f74828,1018,2017-06-27 07:00:44,1498514444.0
