author,board_id,clicks,comment_n,content,key,likes,register_date,title
둥이네맘 doongdoong(zest****),40ad383dfa544d30a1e45d11ca2de666,2484,17.0,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? http://www.wemakeprice.com/deal/adeal/2219778/990000/?source=mdeal&tab=&no=2 품절되었던 원마운트 워터파크 종일권 2인 26900원에 다시 올라왔네요 아이들과?놀기?좋고 필요하신 5월에 품절이라?구매못하신?몰님들 달리세요 기간은 7월 7일 까지라 전 두장 구매했습니다 ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",위메프,8,2017-06-15 11:03:00,위메프 원마운트워터파크 2인 26900
맘스 mb22kms(mb22****),48d1d0d26d4b4f19b6dc33fba8e40410,1840,,"? ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ?유기농비스킷3봉 특가는 몇번떳는데요 ?옵션 7 8 9 쌀눈쌀그대로 2봉 1500원은 처음봐요 ?정말 저렴한가격이에요 ?수량 얼마없는거 같으니 달려가보세요~ ?10개 구매시 사은품도 챙기세요 ? ?10시에 종료됩니다~ ?http://mapi.wemakeprice.com/mobile_app/direct_to_app/2266643 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다. ? ?",위메프,7,2017-06-28 07:17:00,위메프모닝특가 달려가세요~ 유기농과자3봉 1500원 쌀눈쌀은 2봉
밍고 jo1512(qkrd****),57290b5398574854ba72cc25a72d6db3,1244,,와 샴푸 4리터네요 온 가족이 쓰니 샴푸도 은근 금방 동나는데 한번에 4리터 사면 그래도 좀 쓰겠죠? 같이 공유합니다 ? http://www.wemakeprice.com/deal/adeal/2238038/100800/?source=mdeal&tab=&no=9,위메프,3,2017-06-26 22:24:00,(위메프)모링가 4리터 샴푸~
가온길 KP33710(fbtk****),5e1e88345f2c48079c7fccd8d18e7bce,6198,41.0,http://mapi.wemakeprice.com/mobile_app/direct_to_app/2196014 지난 번 국딜 올라온 거 기억나서 사봤어요~ 그때보다 몇백원 더 비싸네요ㅎ,위메프,16,2017-06-09 09:29:00,위메프 물풍선 제조기 222개 5900원
우덜마미kind88(winy****),6552be0d743c476dbbbb92621705729f,2326,31.0,기탄 네오봇프라임 89000원에 대박가격 떴어요. 금요일마다 동네블럭방에서 로봇수업 받는 딸인데 집에서 매일 만들고 싶다고 하는데 한달 교육비로 사줘야겠어요. 진짜 가격저렴하네요 http://mapi.wemakeprice.com/mobile_app/direct_to_app/2177189,위메프,8,2017-06-08 00:12:00,기탄 네오봇프라임 89000원 위메프 주간특가에요
유진맘00flower(00fl****),6bb904c71f564030a256d465d09d0d78,5333,32.0,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ? ? 무배구용^^ 요즘 놀이터 가면 애들 종종 가지고 놀더라구요. ? ?http://mapi.wemakeprice.com/mobile_app/direct_to_app/2188386 ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",위메프,6,2017-06-08 11:16:00,위메프-피젯 스피너 1+1 2900 무배에요
난누구beaful1004(beaf****),6ecdba32155646259db815d51f27918e,101,,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? 요즘 아이들이 많이 들고 다니던데 저희 아이도 하나 사달라해서 알아보던중 싼거 같아서 올려보아요 색상선택은 안되고 랜덤이라네요 ? ? ?http://www.wemakeprice.com/deal/adeal/2287955/103800/?source=mdeal&tab=&no=53 ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",위메프,0,2017-06-29 02:53:00,위메프 휴대용 선풍기 1+1 8900
맘스 mb22kms(mb22****),6f889f73712c4fd8bfa268db0a4105a1,105,,"? ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ?약국에서 본거 같은데 비싸서 못샀는데 ?위메푸 타임특가 떳어요 ? ?알루미늄 케이스에 가위 핀셋 썬프로텍트 밴드 ?들어있네요. 휴가갈때 가방에 쏙~요거 들고가면 딱일듯해서 추천합니다~ ?추가로 주는 잘라쓰는타입도 가성비 짱이에요~~ ? ? ?http://mapi.wemakeprice.com/mobile_app/direct_to_app/2207823 ? ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다. ? ?",위메프,0,2017-06-21 16:59:00,위메프 타임특가 메디터치 올인원+2박스 13900 원이요 7시에종료 되어요
담네 ju1010(jjy2****),71eb7ac2643d41059232b3a7eb29c108,2539,,위메프 카페베네 컵커피 10+10 입니다~ 요런 컵커피 넘 좋아요 자주 먹는데 한번에 20개씩 사다두고 먹음 두고두고 먹더라고요 같은 맛이긴 하지만 20개에 11900원이면 저렴한 듯 http://www.wemakeprice.com/deal/adeal/2252737/100600/?source=mdeal&tab=&no=2,위메프,6,2017-06-26 22:07:00,위메프 카페베네 컵커피 10+10
건빵 froggy83(sc91****),7a672cbe3cee47eb9ee4f45e8acd96d9,5164,66.0,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? 전기건조기 9kg 신형 간만에 싸게 풀려서 공유드립니다 1. 현대/BC/국민/삼성카드 7%쿠폰 즉시할인 2. 몰리 1% 적립 1,149,000원에서 - 80,430원(쿠폰즉시할인) - 11,490원 (몰리적립) 1,057,080원에 구매가능합니다 쿠폰은 상품링크로 이동 후 쿠폰받기누르시면 받아져요~ 몰리적립은 PC로 주문해야 적립됩니다(모바일적립 불가) 몰리링크 http://www.mallree.com/coupons.html?muid=1599 상품링크 http://www.wemakeprice.com/deal/adeal/1792169/?source=dealsearch&search_keyword=RH9WA&no=1&_service=3&_no=1 ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",위메프,9,2017-06-14 11:28:00,[위메프] LG 전기건조기 신형 RH9WA 9kg 105만원~
츄카츄카 kasan24(kasa****),827248a5ebc941b9a6d90778a448c4c1,472,,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? 지금 페넬로페 미라클 팬티기저귀 위메프에 떴다는!!ㅋㅋㅋ 2만원 이상 구매하면 3천원 할인해준다는데... 미라클 팬티기저귀 대형 22매 x 4팩 기준으로 해서 25900원인데 할인하면 20900원! 이득이네요 ㅎㅎㅎㅎ 쿠폰까지 받으면 17900원 ㄷㄷㄷㄷㄷ... 지금 몇시간 안남았으니 얼른 구매해보시길요~~ ? ? http://www.wemakeprice.com/deal/adeal/2240084 ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",위메프,3,2017-06-20 15:27:00,위메프에 페넬로페 미라클 팬티기저귀 떴네요
앙아toffltm(youn****),8694b3e0112a4700a13f8c8151f11e5b,5940,50.0,"http://mapi.wemakeprice.com/mobile_app/direct_to_app/2217249 15%쿠폰 무한대로 써져요. 친정아빠,친정엄마,신랑은 퓨마 1컬레당 25,420원 울아이는 퓨리 20,320원 재고인듯 좀지나간거긴하지만 막신기 좋을듯해서 4컬레에 10만원도안주고샀어요. 사이즈 계속 빠지고있어요 구경해보셔요ㅎ",위메프,24,2017-06-15 02:50:00,"위메프 운동화 저렴하네요(퓨마,리복등 )"
홍장군 misun109(misu****),884929efb36c414eb7de3ce511b7ff70,234,3.0,"위메프 7월 10일부터 31일까지~ 2만원이상 구매시 5,000원 이베이츠 적립입니다~~^^ 선착순 700명 코드 등록된대요. 아직 여유 있는거같아요~~ 바로 되네요~~ https://www.ebates.kr/member/bonus 위 링크 들어가셔서 위메프첫사랑! 입력하세요~~ ^^ 끝. ㅋㅋ",위메프,2,2017-07-11 17:55:00,"위메프~ 이베이츠 경유시 선착순 5,000원 적립~~"
맘스 mb22kms(mb22****),88c13276200d4dae8a99e3667f64a155,4297,,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ?일어나서 잠깐보다 저렴해서 공유해요 2.3 퓸절이라 1.4번 삿어요~ ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",위메프,12,2017-06-20 06:15:00,[품절]위메프투데이특가 하겐다즈 작은거 12개 10900원 외 아이스크림싸요
미드extreme17(sunn****),8a30cababcc14a419c67e067c4f32e5e,3467,9.0,유모차 모기장 2900원이네요. 사이즈 프리라 아무 유모차에나 다 되는 듯 해요. 두개이상 사면 레이스덧신 사은품 준다네요. http://mapi.wemakeprice.com/mobile_app/direct_to_app/2180438,위메프,11,2017-06-07 00:15:00,(위메프 투데이 특가 몽벨 유모차 모기장 2900원
맘스 mb22kms(mb22****),9acc4153729a4aaa84ce01b6261f6fc1,505,,"? ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ?지난번에 ?아쉽게 ?구매못하신분들 위메프투데이특가에 ?딜합니다~ ?달려가 보셔요~ ?틴케이스 ?너무 이뻐요.휴가대비 구비해 놓으면 좋을꺼 같아요 ?약국보단 훨 저렴합니다 ? ?구성은 올인원+잘라쓰는타입2박스 ? ?http://mapi.wemakeprice.com/mobile_app/direct_to_app/2292596 ? ? ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다. ? ?",위메프,3,2017-07-02 02:31:00,위메프투데이특가. 케리스가 너무이쁜 메디터치 올인원세트+2박스
수지맘 loveyaesu(love****),9c98427a34634ce183572537d334bcd2,8567,76.0,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? 딸내미 페이크 삭스 찾고 있었는데, 저렴하게 나왔네요. 무배라 더 좋은거 같아요. 색상은 랜덤으로 오지만 5가지 색 다 이쁠거 같네요. 필요하신분 달리세요!! http://www.wemakeprice.com/deal/adeal/2213212/102100/?source=mdeal&tab=&no=87 ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",위메프,11,2017-06-16 09:27:00,유아 레이스 페이크 삭스 1+1 1900원(위메프)
바이바흐 98seonja(x148****),9ef46b0e1e4c47d0a404d184d9a09026,2248,,"? ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? 구성짱짱한데 색칠놀이에 활동지도주네요 하나사보고 괜찮으면 명작도 사야겠네요ㅎ ? http://mapi.wemakeprice.com/mobile_app/direct_to_app/2284639 ? ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다. ? ?",위메프,12,2017-07-02 19:00:00,"위메프특가 전래동화 명작동화 40종에 27,900원이네요~"
백단향 dolphin66(dolp****),9fd8c480ab4a4939b18bd82f4158d9b1,252,0.0,"게릴라쿠폰 쓰니 1,077,870원 나오네요 [신모델] LG 전기건조기 9kg RH9WAW Wi-Fi 기능추가 더 강력해진! mapi.wemakeprice.com",위메프,0,2017-07-08 11:45:00,위메프 엘지 신형건조기 9킬로 백칠만원대
후후하마 lionhs(jl63****),a189f1f06d2e40d5a8d3bef5e41d047d,513,,오늘 비만 안오면 먹으러 가고 싶다요~~ http://m.wemakeprice.com/m/deal/adeal/2272038/103900/?source=m_bestdeal&no=1,위메프,0,2017-07-03 10:13:00,"[위메프] 평일 런치 샐러드바 14,900원"
총이 pigletoo(pigl****),abf1e47f430f4039a7a5f48dac476c44,2204,16.0,물티슈 2년만에 완전정착 얼마전 수누로 갈아탔는데 냄새도 없고 수분감도 좋고 찢어지지도 않고 제가 좋아하는거 다 갖췄어요!! 방금 위메프 들어갔다가 휴대용 완전 저렴하길래 또 샀네요 날씨 좋아서 요즘 주말마다 애들데리고 나들이 가니휴대용도 금방금방 없어지더라고요 수누물티슈 정말 좋아요 20팩에 8900원이면 가격도 진짜 완전 저렴한거 아닌가요?http://www.wemakeprice.com/deal/adeal/2165156/?source=dealsearch&search_keyword=%EC%88%98%EB%88%84&no=1&_service=3&_no=1,위메프,4,2017-06-08 10:46:00,휴대용물티슈 20팩 8900원~~ 위메프로 고고^^
빠리바겟 umma85(song****),b2272ef7bb874910a2ce3572ccc0c5ef,1505,,선착순이라고 합니다.? 문자오면 링크타서 모바일팝 설치 후 쿠폰 받을수있습니다. ? 참고 : 모바일 팝 신규자만 가능합니다 http://www.wemakeprice.com/deal/adeal/2217214/?source=dealsearch&search_keyword=GS25&no=1&_service=3&_no=1,위메프,4,2017-06-21 12:19:00,위메프 GS25 바리스타 라떼 0원! _ 모바일팝 신규가입자해당
딸둘맘용ruddk1122(rudd****),b3bfcfb2021f4c939f6d93173a334408,9554,31.0,? 문자와서 들어가보니 만원이상 3천원쿠폰 있네요. 복불복 인것 같아요 다른아이디는 없더라구요 득템하세요^^ 쿠폰은 오늘부터 6월14일(수)까지네요 ? ? ?,위메프,22,2017-06-08 17:39:00,위메프 스페셜 쿠폰 만원이상3천원할인
윤 dbsthdbs(dbst****),b77a71bcc58d4f099a32bb3aa0055b2d,2300,17.0,개인적으로 일리마스크팩 가격대비 좋아서 애정하는데~ 위메프 쿠폰 적용하니까 50매 구매시 장당 380원이네요~~,위메프,3,2017-06-14 14:39:00,위메프 일리 마스크팩 쿠폰사용해보세요~ 50매 장당 380원
