author,board_id,clicks,comment_n,content,key,likes,register_date,title
라유봉봉 yulia7(yuli****),085c918e1de147d49f5c3e08d4d50579,3168,,[G마켓]HPM-100 130 200 유선 휴플러스 700 730 무선안마기 http://mitem.gmarket.co.kr/Item?goodscode=589825841 친정집에 보내드리려고 어깨 안마기 찾는 중인데 카페보니 지난 핫딜이 42000원이엇더라구요 쿠폰과 엘지멤버십 2000원 할인받으니 45700원나와요 가격 괜찮은 듯해서 올려보아요~~ ㅎㅎ,LG,7,2017-07-02 19:59:00,"(지마켓) 휴플러스 안마기 45,700원 (LG멤버쉽)"
수현홀릭 jungsm1223(1223****),1bc4b72a0c994cd6a7e65be51c1bbbb7,7235,115.0,"http://display.cjmall.com/m/item/44668467?channelCode=50001001 주말깜짝특가에 네이버추가할인, 카드사할인까지 받으면 저 가격이예요~ 일시불 : 대략 844,398원 할부시 : 대략 872,898원 (무이자12개월) 나름 저렴한거 같아서 올렸는데 아니면 말씀해주세요..^^;",LG,28,2017-06-17 08:21:00,"LG 트롬 건조기 8kg (RH8SD) 844,398원"
빠리바겟 umma85(song****),2cb04cb0842c449483e933f2de6e02ae,294,,TV 신상가격이 많이 떨어졌네요~ 65SJ8000 입니다. ? 지금 최저가는 192만원인데 쿠폰 먹이면 184만원에(APP) 구매 가능해요. 화질은 최상급이고 매직리모컨 포함인데 저는 요게 신통방통한거 같습니다 ㅎ ? 설치비포함이라 추천해요~ ^^? http://deal.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1791977773,LG,3,2017-07-05 10:15:00,긴공 65인치 LG SUHD 65SJ8000 194만원 쿠폰가-> 184만원
엘리 alley282(alle****),31fb1ae933604aa994e38c359ef7266f,904,,"http://g9ro.kr/GiLh 654,120원 오늘까지 롯데카드 10%할인 (가격 밑에 쿠폰 받으세요) 스마일페이 결제시 20개월 무이자할부 월(32,706원) 렌탈 고민 하다가 열심히 계산기 두드려 보고 무이자할부로 구매했습니다 1시간 20분 남았네요 쿠폰이 오늘25일 까지예요~ (홈쇼핑 아닙니다^-^) 면적은 58제곱미터 30평대까지 쓰셔도 된데요",LG,1,2017-06-25 22:39:00,[지구]LG 퓨리케어 공기청정기 AS181DAW(롯데카드결제시)
건빵 froggy83(sc91****),385bf14f289e465b82f0af106448e8e3,10307,173.0,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? 오늘 건조기 가격 괜찮네요ㅎ 혹시 건조기 9KG가 필요없다면 가성비 좋은 8KG 건조기 추천드립니다 가격은 완전 좋아요 역대가인듯ㅎㅎ 8KG와 9KG 차이는 크기외에 전기세는 동일하고 리모컨 유무로만 알고있는데 혹시 추가로 다른게 있다면 말씀해주세요^^ 1. 국민/신한카드 7%청구할인 2. 10만원 적립금 3. 몰리 5% 적립 (최대$12 적립(약14000원)) 976,080원에서 - 68,325원(청구할인) - 100,000원(적립금) - 14,000원 (몰리적립) 794,255원에 구매가능합니다 몰리링크(PC, 모바일 주문 둘다 적립되요) http://www.mallree.com/coupons.html?muid=1045 상품링크 http://with.gsshop.com/deal/deal.gs?dealNo=26205639&prdid=26205639&lseq=361480 ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",LG,44,2017-06-14 11:54:00,[GS샵] LG 전기건조기 RH8WD 8kg 79만원~ 역대가네요ㅎ
건빵 froggy83(sc91****),7a672cbe3cee47eb9ee4f45e8acd96d9,5164,66.0,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? 전기건조기 9kg 신형 간만에 싸게 풀려서 공유드립니다 1. 현대/BC/국민/삼성카드 7%쿠폰 즉시할인 2. 몰리 1% 적립 1,149,000원에서 - 80,430원(쿠폰즉시할인) - 11,490원 (몰리적립) 1,057,080원에 구매가능합니다 쿠폰은 상품링크로 이동 후 쿠폰받기누르시면 받아져요~ 몰리적립은 PC로 주문해야 적립됩니다(모바일적립 불가) 몰리링크 http://www.mallree.com/coupons.html?muid=1599 상품링크 http://www.wemakeprice.com/deal/adeal/1792169/?source=dealsearch&search_keyword=RH9WA&no=1&_service=3&_no=1 ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",LG,9,2017-06-14 11:28:00,[위메프] LG 전기건조기 신형 RH9WA 9kg 105만원~
해피어뭉ahahqnr(ahah****),ade23e0758e345ca9c9bf4292e2cf691,200,0.0,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? 원에서 알파벳송 배우고 왔는지 흥얼흥얼 거리는 막내 위해 저렴하게 골랐어요. 뽀로로 abc사운드 북이랑 스티커북이랑 두권해서 15.900원요. http://item.gmarket.co.kr/Item?goodscode=986376392 LG U+ 멤버쉽은 추가 할인도 있더라구요. 챙기세용. http://promotion.gmarket.co.kr/planview/plan.asp?sid=154155 ? ?? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",LG,0,2017-07-07 22:24:00,뽀로로 토이북 1+1 패키지 특가용/3만원이상 LG U+ 멤버쉽은 추가 할인 있어요.
sbi7788(shoo****),db85e54c04264af2b9bcfd9b26fc72aa,1667,,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ?http://www.hyundaihmall.com/front/pda/itemPtc.do?slitmCd=2047043198 엘지생활건강에서 나온 고농축 섬유유연제인데 핫딜인듯해서 공유합니당 1L 3통에 9900원 무배이고 추가로 800ml 더주고 시트세제 15매까지 주네요 (참고로 저 시트세제도 써봤는데 되게 좋아요 ㅋㅋ) 왠지 다우니랑 비슷하긴한데 저렴하네요 필요하신분들 구매하셔요~ ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",LG,9,2017-06-19 15:56:00,[h몰]LG생건 아우라섬유유연제 3통 9900무배+800ml리필+시트세제
